fid,id,left,top,right,bottom,ALS_10m_0mean
"39","456433",16174644.9785,-3673804.1298,16174654.9785,-3673814.1298,0.529471505900561
"40","456434",16174644.9785,-3673814.1298,16174654.9785,-3673824.1298,0.3453696769887
"41","456435",16174644.9785,-3673824.1298,16174654.9785,-3673834.1298,0.327315671587812
"42","456436",16174644.9785,-3673834.1298,16174654.9785,-3673844.1298,0.387673057794571
"43","456437",16174644.9785,-3673844.1298,16174654.9785,-3673854.1298,0.41574610550614
"44","457549",16174654.9785,-3673744.1298,16174664.9785,-3673754.1298,0.875631654963774
"45","457550",16174654.9785,-3673754.1298,16174664.9785,-3673764.1298,0.734088928323902
"46","457551",16174654.9785,-3673764.1298,16174664.9785,-3673774.1298,0.401018554033273
"47","457552",16174654.9785,-3673774.1298,16174664.9785,-3673784.1298,0.313230244397705
"48","457553",16174654.9785,-3673784.1298,16174664.9785,-3673794.1298,0.539759437724381
"49","457554",16174654.9785,-3673794.1298,16174664.9785,-3673804.1298,0.701407193127325
"50","457555",16174654.9785,-3673804.1298,16174664.9785,-3673814.1298,0.660372851737614
"51","457556",16174654.9785,-3673814.1298,16174664.9785,-3673824.1298,0.458138882288883
"52","457557",16174654.9785,-3673824.1298,16174664.9785,-3673834.1298,0.383912778127565
"53","457558",16174654.9785,-3673834.1298,16174664.9785,-3673844.1298,0.481072420304691
"54","457559",16174654.9785,-3673844.1298,16174664.9785,-3673854.1298,0.584739483430468
"55","457560",16174654.9785,-3673854.1298,16174664.9785,-3673864.1298,0.686994255554897
"56","457561",16174654.9785,-3673864.1298,16174664.9785,-3673874.1298,0.653203153775798
"57","457562",16174654.9785,-3673874.1298,16174664.9785,-3673884.1298,0.578459620475769
"58","457571",16174654.9785,-3673964.1298,16174664.9785,-3673974.1298,0.943690738207857
"59","457572",16174654.9785,-3673974.1298,16174664.9785,-3673984.1298,1.01867344840006
"60","458671",16174664.9785,-3673744.1298,16174674.9785,-3673754.1298,0.293392066074454
"61","458672",16174664.9785,-3673754.1298,16174674.9785,-3673764.1298,0.224840897549007
"62","458673",16174664.9785,-3673764.1298,16174674.9785,-3673774.1298,0.159493444893496
"63","458674",16174664.9785,-3673774.1298,16174674.9785,-3673784.1298,0.287800149521613
"64","458675",16174664.9785,-3673784.1298,16174674.9785,-3673794.1298,0.646202750375114
"65","458676",16174664.9785,-3673794.1298,16174674.9785,-3673804.1298,0.984436268725638
"66","458677",16174664.9785,-3673804.1298,16174674.9785,-3673814.1298,1.03839330916586
"67","458678",16174664.9785,-3673814.1298,16174674.9785,-3673824.1298,0.669059204085888
"68","458679",16174664.9785,-3673824.1298,16174674.9785,-3673834.1298,0.35845730935826
"69","458680",16174664.9785,-3673834.1298,16174674.9785,-3673844.1298,0.457117009706594
"70","458681",16174664.9785,-3673844.1298,16174674.9785,-3673854.1298,0.81530208901138
"71","458682",16174664.9785,-3673854.1298,16174674.9785,-3673864.1298,1.03954348720894
"72","458683",16174664.9785,-3673864.1298,16174674.9785,-3673874.1298,0.784119953814241
"73","458684",16174664.9785,-3673874.1298,16174674.9785,-3673884.1298,0.464925127151685
"74","458685",16174664.9785,-3673884.1298,16174674.9785,-3673894.1298,0.269458546397391
"75","458686",16174664.9785,-3673894.1298,16174674.9785,-3673904.1298,0.223459428952338
"76","458692",16174664.9785,-3673954.1298,16174674.9785,-3673964.1298,1.32704739163562
"77","458693",16174664.9785,-3673964.1298,16174674.9785,-3673974.1298,1.7627335906456
"78","458694",16174664.9785,-3673974.1298,16174674.9785,-3673984.1298,2.07884519897687
"79","458695",16174664.9785,-3673984.1298,16174674.9785,-3673994.1298,2.3957515931711
"80","458696",16174664.9785,-3673994.1298,16174674.9785,-3674004.1298,2.88837183846368
"81","458697",16174664.9785,-3674004.1298,16174674.9785,-3674014.1298,
"82","459793",16174674.9785,-3673744.1298,16174684.9785,-3673754.1298,0.143060561050387
"83","459794",16174674.9785,-3673754.1298,16174684.9785,-3673764.1298,0.0931031263836131
"84","459795",16174674.9785,-3673764.1298,16174684.9785,-3673774.1298,0.221516954818915
"85","459796",16174674.9785,-3673774.1298,16174684.9785,-3673784.1298,0.601090265547528
"86","459797",16174674.9785,-3673784.1298,16174684.9785,-3673794.1298,1.11533734028282
"87","459798",16174674.9785,-3673794.1298,16174684.9785,-3673804.1298,1.42158465361109
"88","459799",16174674.9785,-3673804.1298,16174684.9785,-3673814.1298,1.38282064871805
"89","459800",16174674.9785,-3673814.1298,16174684.9785,-3673824.1298,0.910649604038384
"90","459801",16174674.9785,-3673824.1298,16174684.9785,-3673834.1298,0.402198987854581
"91","459802",16174674.9785,-3673834.1298,16174684.9785,-3673844.1298,0.368544988077262
"92","459803",16174674.9785,-3673844.1298,16174684.9785,-3673854.1298,0.753089070217007
"93","459804",16174674.9785,-3673854.1298,16174684.9785,-3673864.1298,1.03684144799685
"94","459805",16174674.9785,-3673864.1298,16174684.9785,-3673874.1298,0.735439006049754
"95","459806",16174674.9785,-3673874.1298,16174684.9785,-3673884.1298,0.356273931151443
"96","459807",16174674.9785,-3673884.1298,16174684.9785,-3673894.1298,0.271444247616616
"97","459808",16174674.9785,-3673894.1298,16174684.9785,-3673904.1298,0.367078730924447
"98","459809",16174674.9785,-3673904.1298,16174684.9785,-3673914.1298,0.687730241138323
"99","459810",16174674.9785,-3673914.1298,16174684.9785,-3673924.1298,1.21243197196408
"100","459811",16174674.9785,-3673924.1298,16174684.9785,-3673934.1298,1.94327749146356
"101","459812",16174674.9785,-3673934.1298,16174684.9785,-3673944.1298,2.07164735915297
"102","459813",16174674.9785,-3673944.1298,16174684.9785,-3673954.1298,1.89266867985886
"103","459814",16174674.9785,-3673954.1298,16174684.9785,-3673964.1298,2.31748117968596
"104","459815",16174674.9785,-3673964.1298,16174684.9785,-3673974.1298,3.80143363418051
"105","459816",16174674.9785,-3673974.1298,16174684.9785,-3673984.1298,4.70545567726267
"106","459817",16174674.9785,-3673984.1298,16174684.9785,-3673994.1298,4.30666385909258
"107","459818",16174674.9785,-3673994.1298,16174684.9785,-3674004.1298,3.59798101157878
"108","459819",16174674.9785,-3674004.1298,16174684.9785,-3674014.1298,3.70659274548556
"109","459820",16174674.9785,-3674014.1298,16174684.9785,-3674024.1298,3.40372058288338
"110","459821",16174674.9785,-3674024.1298,16174684.9785,-3674034.1298,2.24205595917172
"111","460915",16174684.9785,-3673744.1298,16174694.9785,-3673754.1298,0.138778187955419
"112","460916",16174684.9785,-3673754.1298,16174694.9785,-3673764.1298,0.137327499713275
"113","460917",16174684.9785,-3673764.1298,16174694.9785,-3673774.1298,0.423740444820503
"114","460918",16174684.9785,-3673774.1298,16174694.9785,-3673784.1298,1.08682443458458
"115","460919",16174684.9785,-3673784.1298,16174694.9785,-3673794.1298,1.66963344570753
"116","460920",16174684.9785,-3673794.1298,16174694.9785,-3673804.1298,1.68346642300845
"117","460921",16174684.9785,-3673804.1298,16174694.9785,-3673814.1298,1.4252072034211
"118","460922",16174684.9785,-3673814.1298,16174694.9785,-3673824.1298,1.06019425659344
"119","460923",16174684.9785,-3673824.1298,16174694.9785,-3673834.1298,0.575448734937487
"120","460924",16174684.9785,-3673834.1298,16174694.9785,-3673844.1298,0.302541007358452
"121","460925",16174684.9785,-3673844.1298,16174694.9785,-3673854.1298,0.380827063957031
"122","460926",16174684.9785,-3673854.1298,16174694.9785,-3673864.1298,0.536833810497975
"123","460927",16174684.9785,-3673864.1298,16174694.9785,-3673874.1298,0.464906978647451
"124","460928",16174684.9785,-3673874.1298,16174694.9785,-3673884.1298,0.515701170419825
"125","460929",16174684.9785,-3673884.1298,16174694.9785,-3673894.1298,0.79732073374273
"126","460930",16174684.9785,-3673894.1298,16174694.9785,-3673904.1298,1.03751826985129
"127","460931",16174684.9785,-3673904.1298,16174694.9785,-3673914.1298,1.26013371814676
"128","460932",16174684.9785,-3673914.1298,16174694.9785,-3673924.1298,1.73916358601263
"129","460933",16174684.9785,-3673924.1298,16174694.9785,-3673934.1298,2.67516509513129
"130","460934",16174684.9785,-3673934.1298,16174694.9785,-3673944.1298,3.52302392432307
"131","460935",16174684.9785,-3673944.1298,16174694.9785,-3673954.1298,3.97226086023337
"132","460936",16174684.9785,-3673954.1298,16174694.9785,-3673964.1298,4.1916485525745
"133","460937",16174684.9785,-3673964.1298,16174694.9785,-3673974.1298,5.23669077780832
"134","460938",16174684.9785,-3673974.1298,16174694.9785,-3673984.1298,6.44265567612004
"135","460939",16174684.9785,-3673984.1298,16174694.9785,-3673994.1298,5.92804063645201
"136","460940",16174684.9785,-3673994.1298,16174694.9785,-3674004.1298,4.32086467330431
"137","460941",16174684.9785,-3674004.1298,16174694.9785,-3674014.1298,3.60684904177709
"138","460942",16174684.9785,-3674014.1298,16174694.9785,-3674024.1298,3.07360874076147
"139","460943",16174684.9785,-3674024.1298,16174694.9785,-3674034.1298,1.70517985957364
"140","460944",16174684.9785,-3674034.1298,16174694.9785,-3674044.1298,0.495836815320131
"141","460945",16174684.9785,-3674044.1298,16174694.9785,-3674054.1298,0.217632947003313
"142","460946",16174684.9785,-3674054.1298,16174694.9785,-3674064.1298,0.344464218510049
"143","460947",16174684.9785,-3674064.1298,16174694.9785,-3674074.1298,0.454553959783444
"144","460948",16174684.9785,-3674074.1298,16174694.9785,-3674084.1298,0.361842501080698
"145","460949",16174684.9785,-3674084.1298,16174694.9785,-3674094.1298,0.204196594123329
"146","460950",16174684.9785,-3674094.1298,16174694.9785,-3674104.1298,0.144083081499526
"147","460951",16174684.9785,-3674104.1298,16174694.9785,-3674114.1298,0.165429586401353
"148","460980",16174684.9785,-3674394.1298,16174694.9785,-3674404.1298,2.2688947280248
"149","460981",16174684.9785,-3674404.1298,16174694.9785,-3674414.1298,4.03510493990304
"150","460982",16174684.9785,-3674414.1298,16174694.9785,-3674424.1298,5.10941474025066
"151","460983",16174684.9785,-3674424.1298,16174694.9785,-3674434.1298,4.64983823222499
"152","462037",16174694.9785,-3673744.1298,16174704.9785,-3673754.1298,0.269119479200419
"153","462038",16174694.9785,-3673754.1298,16174704.9785,-3673764.1298,0.290594047070787
"154","462039",16174694.9785,-3673764.1298,16174704.9785,-3673774.1298,0.631095033306564
"155","462040",16174694.9785,-3673774.1298,16174704.9785,-3673784.1298,1.3363540372634
"156","462041",16174694.9785,-3673784.1298,16174704.9785,-3673794.1298,1.80796248225842
"157","462042",16174694.9785,-3673794.1298,16174704.9785,-3673804.1298,1.57752174407141
"158","462043",16174694.9785,-3673804.1298,16174704.9785,-3673814.1298,1.15864284413909
"159","462044",16174694.9785,-3673814.1298,16174704.9785,-3673824.1298,0.90847394014227
"160","462045",16174694.9785,-3673824.1298,16174704.9785,-3673834.1298,0.576329137612197
"161","462046",16174694.9785,-3673834.1298,16174704.9785,-3673844.1298,0.242820848849405
"162","462047",16174694.9785,-3673844.1298,16174704.9785,-3673854.1298,0.131595115915302
"163","462048",16174694.9785,-3673854.1298,16174704.9785,-3673864.1298,0.351475530771265
"164","462049",16174694.9785,-3673864.1298,16174704.9785,-3673874.1298,0.902502600460836
"165","462050",16174694.9785,-3673874.1298,16174704.9785,-3673884.1298,1.85513335425136
"166","462051",16174694.9785,-3673884.1298,16174704.9785,-3673894.1298,2.75660727278064
"167","462052",16174694.9785,-3673894.1298,16174704.9785,-3673904.1298,2.97514811681735
"168","462053",16174694.9785,-3673904.1298,16174704.9785,-3673914.1298,2.53422570762963
"169","462054",16174694.9785,-3673914.1298,16174704.9785,-3673924.1298,2.35230533501198
"170","462055",16174694.9785,-3673924.1298,16174704.9785,-3673934.1298,3.29255445250149
"171","462056",16174694.9785,-3673934.1298,16174704.9785,-3673944.1298,4.78686778713958
"172","462057",16174694.9785,-3673944.1298,16174704.9785,-3673954.1298,5.50444722668878
"173","462058",16174694.9785,-3673954.1298,16174704.9785,-3673964.1298,4.96526528555771
"174","462059",16174694.9785,-3673964.1298,16174704.9785,-3673974.1298,4.99670843420358
"175","462060",16174694.9785,-3673974.1298,16174704.9785,-3673984.1298,6.27673022221711
"176","462061",16174694.9785,-3673984.1298,16174704.9785,-3673994.1298,6.34538309025191
"177","462062",16174694.9785,-3673994.1298,16174704.9785,-3674004.1298,4.56629896739434
"178","462063",16174694.9785,-3674004.1298,16174704.9785,-3674014.1298,3.07910576524406
"179","462064",16174694.9785,-3674014.1298,16174704.9785,-3674024.1298,2.2564883090682
"180","462065",16174694.9785,-3674024.1298,16174704.9785,-3674034.1298,1.21384261764329
"181","462066",16174694.9785,-3674034.1298,16174704.9785,-3674044.1298,0.351784455305113
"182","462067",16174694.9785,-3674044.1298,16174704.9785,-3674054.1298,0.196274140233066
"183","462068",16174694.9785,-3674054.1298,16174704.9785,-3674064.1298,0.298056619464334
"184","462069",16174694.9785,-3674064.1298,16174704.9785,-3674074.1298,0.373176047649351
"185","462070",16174694.9785,-3674074.1298,16174704.9785,-3674084.1298,0.291210166104525
"186","462071",16174694.9785,-3674084.1298,16174704.9785,-3674094.1298,0.16846284396141
"187","462072",16174694.9785,-3674094.1298,16174704.9785,-3674104.1298,0.139021734465365
"188","462073",16174694.9785,-3674104.1298,16174704.9785,-3674114.1298,0.178901477583817
"189","462074",16174694.9785,-3674114.1298,16174704.9785,-3674124.1298,0.23598020458594
"190","462075",16174694.9785,-3674124.1298,16174704.9785,-3674134.1298,0.34279226481098
"191","462076",16174694.9785,-3674134.1298,16174704.9785,-3674144.1298,0.546986125409603
"192","462079",16174694.9785,-3674164.1298,16174704.9785,-3674174.1298,0.374389936526616
"193","462080",16174694.9785,-3674174.1298,16174704.9785,-3674184.1298,0.354880791258168
"194","462081",16174694.9785,-3674184.1298,16174704.9785,-3674194.1298,0.496916070580482
"195","462082",16174694.9785,-3674194.1298,16174704.9785,-3674204.1298,0.845953339735667
"196","462083",16174694.9785,-3674204.1298,16174704.9785,-3674214.1298,1.30191327527512
"197","462084",16174694.9785,-3674214.1298,16174704.9785,-3674224.1298,1.68303988490786
"198","462085",16174694.9785,-3674224.1298,16174704.9785,-3674234.1298,2.27217466115952
"199","462086",16174694.9785,-3674234.1298,16174704.9785,-3674244.1298,3.33000555531732
"200","462087",16174694.9785,-3674244.1298,16174704.9785,-3674254.1298,4.17429268360138
"201","462088",16174694.9785,-3674254.1298,16174704.9785,-3674264.1298,
"202","462098",16174694.9785,-3674354.1298,16174704.9785,-3674364.1298,0.89055323600769
"203","462099",16174694.9785,-3674364.1298,16174704.9785,-3674374.1298,0.775570709750337
"204","462100",16174694.9785,-3674374.1298,16174704.9785,-3674384.1298,0.745426972389221
"205","462101",16174694.9785,-3674384.1298,16174704.9785,-3674394.1298,0.903692631107388
"206","462102",16174694.9785,-3674394.1298,16174704.9785,-3674404.1298,1.70642467261218
"207","462103",16174694.9785,-3674404.1298,16174704.9785,-3674414.1298,3.34597296863279
"208","462104",16174694.9785,-3674414.1298,16174704.9785,-3674424.1298,4.20603174734281
"209","462105",16174694.9785,-3674424.1298,16174704.9785,-3674434.1298,3.19476162243593
"210","462106",16174694.9785,-3674434.1298,16174704.9785,-3674444.1298,1.67198769942574
"211","462107",16174694.9785,-3674444.1298,16174704.9785,-3674454.1298,1.11861205101013
"212","462153",16174694.9785,-3674904.1298,16174704.9785,-3674914.1298,
"213","463159",16174704.9785,-3673744.1298,16174714.9785,-3673754.1298,0.56988438218832
"214","463160",16174704.9785,-3673754.1298,16174714.9785,-3673764.1298,0.566791071405048
"215","463161",16174704.9785,-3673764.1298,16174714.9785,-3673774.1298,0.747266977612947
"216","463162",16174704.9785,-3673774.1298,16174714.9785,-3673784.1298,1.06503963958688
"217","463163",16174704.9785,-3673784.1298,16174714.9785,-3673794.1298,1.24128216831651
"218","463164",16174704.9785,-3673794.1298,16174714.9785,-3673804.1298,1.07772078151109
"219","463165",16174704.9785,-3673804.1298,16174714.9785,-3673814.1298,0.767734579355246
"220","463166",16174704.9785,-3673814.1298,16174714.9785,-3673824.1298,0.617894620814566
"221","463167",16174704.9785,-3673824.1298,16174714.9785,-3673834.1298,0.461720021435134
"222","463168",16174704.9785,-3673834.1298,16174714.9785,-3673844.1298,0.262554264347033
"223","463169",16174704.9785,-3673844.1298,16174714.9785,-3673854.1298,0.249235592241106
"224","463170",16174704.9785,-3673854.1298,16174714.9785,-3673864.1298,0.843469151601953
"225","463171",16174704.9785,-3673864.1298,16174714.9785,-3673874.1298,2.29594242345916
"226","463172",16174704.9785,-3673874.1298,16174714.9785,-3673884.1298,4.40175910969506
"227","463173",16174704.9785,-3673884.1298,16174714.9785,-3673894.1298,6.05817579645599
"228","463174",16174704.9785,-3673894.1298,16174714.9785,-3673904.1298,6.13849410978523
"229","463175",16174704.9785,-3673904.1298,16174714.9785,-3673914.1298,4.58216129949761
"230","463176",16174704.9785,-3673914.1298,16174714.9785,-3673924.1298,3.05799138834732
"231","463177",16174704.9785,-3673924.1298,16174714.9785,-3673934.1298,2.78927536406732
"232","463178",16174704.9785,-3673934.1298,16174714.9785,-3673944.1298,3.56608731521142
"233","463179",16174704.9785,-3673944.1298,16174714.9785,-3673954.1298,4.14139836634732
"234","463180",16174704.9785,-3673954.1298,16174714.9785,-3673964.1298,3.67861478551449
"235","463181",16174704.9785,-3673964.1298,16174714.9785,-3673974.1298,3.92981752059231
"236","463182",16174704.9785,-3673974.1298,16174714.9785,-3673984.1298,5.80173136512574
"237","463183",16174704.9785,-3673984.1298,16174714.9785,-3673994.1298,6.44671370826378
"238","463184",16174704.9785,-3673994.1298,16174714.9785,-3674004.1298,4.49628205777865
"239","463185",16174704.9785,-3674004.1298,16174714.9785,-3674014.1298,2.29392417083352
"240","463186",16174704.9785,-3674014.1298,16174714.9785,-3674024.1298,1.29781128085893
"241","463187",16174704.9785,-3674024.1298,16174714.9785,-3674034.1298,0.679332872884909
"242","463188",16174704.9785,-3674034.1298,16174714.9785,-3674044.1298,0.209656231775622
"243","463189",16174704.9785,-3674044.1298,16174714.9785,-3674054.1298,0.121204829796896
"244","463190",16174704.9785,-3674054.1298,16174714.9785,-3674064.1298,0.15707192985038
"245","463191",16174704.9785,-3674064.1298,16174714.9785,-3674074.1298,0.191426383703947
"246","463192",16174704.9785,-3674074.1298,16174714.9785,-3674084.1298,0.17397943244412
"247","463193",16174704.9785,-3674084.1298,16174714.9785,-3674094.1298,0.122190259447372
"248","463194",16174704.9785,-3674094.1298,16174714.9785,-3674104.1298,0.111375956288699
"249","463195",16174704.9785,-3674104.1298,16174714.9785,-3674114.1298,0.158141092596383
"250","463196",16174704.9785,-3674114.1298,16174714.9785,-3674124.1298,0.245452460286946
"251","463197",16174704.9785,-3674124.1298,16174714.9785,-3674134.1298,0.352368635100287
"252","463198",16174704.9785,-3674134.1298,16174714.9785,-3674144.1298,0.563557567940631
"253","463199",16174704.9785,-3674144.1298,16174714.9785,-3674154.1298,0.686184156033779
"254","463200",16174704.9785,-3674154.1298,16174714.9785,-3674164.1298,0.54980544653131
"255","463201",16174704.9785,-3674164.1298,16174714.9785,-3674174.1298,0.381024515953194
"256","463202",16174704.9785,-3674174.1298,16174714.9785,-3674184.1298,0.340885516487319
"257","463203",16174704.9785,-3674184.1298,16174714.9785,-3674194.1298,0.503365120424847
"258","463204",16174704.9785,-3674194.1298,16174714.9785,-3674204.1298,0.891991357682115
"259","463205",16174704.9785,-3674204.1298,16174714.9785,-3674214.1298,1.39964491436162
"260","463206",16174704.9785,-3674214.1298,16174714.9785,-3674224.1298,1.73135150013299
"261","463207",16174704.9785,-3674224.1298,16174714.9785,-3674234.1298,2.12142708137118
"262","463208",16174704.9785,-3674234.1298,16174714.9785,-3674244.1298,2.93551723350913
"263","463209",16174704.9785,-3674244.1298,16174714.9785,-3674254.1298,3.54732227983146
"264","463210",16174704.9785,-3674254.1298,16174714.9785,-3674264.1298,3.13083467887905
"265","463211",16174704.9785,-3674264.1298,16174714.9785,-3674274.1298,1.9160343263796
"266","463212",16174704.9785,-3674274.1298,16174714.9785,-3674284.1298,1.32027212376111
"267","463213",16174704.9785,-3674284.1298,16174714.9785,-3674294.1298,1.48162783971473
"268","463214",16174704.9785,-3674294.1298,16174714.9785,-3674304.1298,1.69813864371356
"269","463215",16174704.9785,-3674304.1298,16174714.9785,-3674314.1298,1.41718373350475
"270","463216",16174704.9785,-3674314.1298,16174714.9785,-3674324.1298,0.919700942872986
"271","463217",16174704.9785,-3674324.1298,16174714.9785,-3674334.1298,0.566469772773631
"272","463218",16174704.9785,-3674334.1298,16174714.9785,-3674344.1298,0.566094040393829
"273","463219",16174704.9785,-3674344.1298,16174714.9785,-3674354.1298,0.89930331023013
"274","463220",16174704.9785,-3674354.1298,16174714.9785,-3674364.1298,1.07677557397245
"275","463221",16174704.9785,-3674364.1298,16174714.9785,-3674374.1298,1.09321046783025
"276","463222",16174704.9785,-3674374.1298,16174714.9785,-3674384.1298,1.18222756204308
"277","463223",16174704.9785,-3674384.1298,16174714.9785,-3674394.1298,1.31353803354056
"278","463224",16174704.9785,-3674394.1298,16174714.9785,-3674404.1298,1.5068012533319
"279","463225",16174704.9785,-3674404.1298,16174714.9785,-3674414.1298,2.06822713147398
"280","463226",16174704.9785,-3674414.1298,16174714.9785,-3674424.1298,2.33669799215653
"281","463227",16174704.9785,-3674424.1298,16174714.9785,-3674434.1298,1.78759951187392
"282","463228",16174704.9785,-3674434.1298,16174714.9785,-3674444.1298,1.26764352758863
"283","463229",16174704.9785,-3674444.1298,16174714.9785,-3674454.1298,1.24283279450435
"284","463230",16174704.9785,-3674454.1298,16174714.9785,-3674464.1298,1.45447248412717
"285","463274",16174704.9785,-3674894.1298,16174714.9785,-3674904.1298,2.40624918720939
"286","463275",16174704.9785,-3674904.1298,16174714.9785,-3674914.1298,2.63469024839855
"287","463276",16174704.9785,-3674914.1298,16174714.9785,-3674924.1298,2.79370435476303
"288","464281",16174714.9785,-3673744.1298,16174724.9785,-3673754.1298,0.825476947952719
"289","464282",16174714.9785,-3673754.1298,16174724.9785,-3673764.1298,0.894586981786576
"290","464283",16174714.9785,-3673764.1298,16174724.9785,-3673774.1298,0.984052182068874
"291","464284",16174714.9785,-3673774.1298,16174724.9785,-3673784.1298,0.963096128927695
"292","464285",16174714.9785,-3673784.1298,16174724.9785,-3673794.1298,0.900985090790323
"293","464286",16174714.9785,-3673794.1298,16174724.9785,-3673804.1298,0.811853584121255
"294","464287",16174714.9785,-3673804.1298,16174724.9785,-3673814.1298,0.654450833797455
"295","464288",16174714.9785,-3673814.1298,16174724.9785,-3673824.1298,0.604474045537614
"296","464289",16174714.9785,-3673824.1298,16174724.9785,-3673834.1298,0.522661512801391
"297","464290",16174714.9785,-3673834.1298,16174724.9785,-3673844.1298,0.361528464770235
"298","464291",16174714.9785,-3673844.1298,16174724.9785,-3673854.1298,0.419082268711605
"299","464292",16174714.9785,-3673854.1298,16174724.9785,-3673864.1298,1.21849892127353
"300","464293",16174714.9785,-3673864.1298,16174724.9785,-3673874.1298,3.26538335245786
"301","464294",16174714.9785,-3673874.1298,16174724.9785,-3673884.1298,6.21206891082975
"302","464295",16174714.9785,-3673884.1298,16174724.9785,-3673894.1298,8.50235126933006
"303","464296",16174714.9785,-3673894.1298,16174724.9785,-3673904.1298,8.52304089722568
"304","464297",16174714.9785,-3673904.1298,16174724.9785,-3673914.1298,6.30394876044514
"305","464298",16174714.9785,-3673914.1298,16174724.9785,-3673924.1298,3.77072344024289
"306","464299",16174714.9785,-3673924.1298,16174724.9785,-3673934.1298,2.19214296462172
"307","464300",16174714.9785,-3673934.1298,16174724.9785,-3673944.1298,1.69061902691336
"308","464301",16174714.9785,-3673944.1298,16174724.9785,-3673954.1298,1.6160813961887
"309","464302",16174714.9785,-3673954.1298,16174724.9785,-3673964.1298,1.70497440796822
"310","464303",16174714.9785,-3673964.1298,16174724.9785,-3673974.1298,3.06788095549957
"311","464304",16174714.9785,-3673974.1298,16174724.9785,-3673984.1298,5.58168789259703
"312","464305",16174714.9785,-3673984.1298,16174724.9785,-3673994.1298,6.16976280773387
"313","464306",16174714.9785,-3673994.1298,16174724.9785,-3674004.1298,4.01139852744898
"314","464307",16174714.9785,-3674004.1298,16174724.9785,-3674014.1298,1.69105928773816
"315","464308",16174714.9785,-3674014.1298,16174724.9785,-3674024.1298,0.766534025281358
"316","464309",16174714.9785,-3674024.1298,16174724.9785,-3674034.1298,0.385100833530245
"317","464310",16174714.9785,-3674034.1298,16174724.9785,-3674044.1298,0.124673105698968
